Date,Wage
01-03-2006,20.04
01-04-2006,20.17
01-05-2006,20.13
01-06-2006,20.22
01-07-2006,20.3
01-08-2006,20.32
01-09-2006,20.41
01-10-2006,20.44
01-11-2006,20.48
01-12-2006,20.57
01-01-2007,20.6
01-02-2007,20.68
01-03-2007,20.72
01-04-2007,20.79
01-05-2007,20.84
01-06-2007,20.95
01-07-2007,20.96
01-08-2007,21
01-09-2007,21.04
01-10-2007,21.06
01-11-2007,21.12
01-12-2007,21.18
01-01-2008,21.19
01-02-2008,21.26
01-03-2008,21.36
01-04-2008,21.38
01-05-2008,21.47
01-06-2008,21.52
01-07-2008,21.59
01-08-2008,21.7
01-09-2008,21.72
01-10-2008,21.76
01-11-2008,21.88
01-12-2008,21.94
01-01-2009,21.97
01-02-2009,21.99
01-03-2009,22.06
01-04-2009,22.09
01-05-2009,22.1
01-06-2009,22.13
01-07-2009,22.18
01-08-2009,22.23
01-09-2009,22.26
01-10-2009,22.3
01-11-2009,22.36
01-12-2009,22.36
01-01-2010,22.41
01-02-2010,22.45
01-03-2010,22.45
01-04-2010,22.49
01-05-2010,22.53
01-06-2010,22.53
01-07-2010,22.59
01-08-2010,22.62
01-09-2010,22.67
01-10-2010,22.74
01-11-2010,22.73
01-12-2010,22.76
01-01-2011,22.85
01-02-2011,22.87
01-03-2011,22.87
01-04-2011,22.92
01-05-2011,22.99
01-06-2011,23.01
01-07-2011,23.1
01-08-2011,23.07
01-09-2011,23.11
01-10-2011,23.2
01-11-2011,23.18
01-12-2011,23.21
01-01-2012,23.24
01-02-2012,23.27
01-03-2012,23.36
01-04-2012,23.39
01-05-2012,23.39
01-06-2012,23.46
01-07-2012,23.51
01-08-2012,23.49
01-09-2012,23.57
01-10-2012,23.56
01-11-2012,23.63
01-12-2012,23.73
01-01-2013,23.76
01-02-2013,23.77
01-03-2013,23.81
01-04-2013,23.87
01-05-2013,23.89
01-06-2013,23.97
01-07-2013,23.98
01-08-2013,24.03
01-09-2013,24.06
01-10-2013,24.09
01-11-2013,24.16
01-12-2013,24.17
01-01-2014,24.21
01-02-2014,24.32
01-03-2014,24.31
01-04-2014,24.34
01-05-2014,24.4
01-06-2014,24.45
01-07-2014,24.48
01-08-2014,24.56
01-09-2014,24.56
01-10-2014,24.58
01-11-2014,24.65
01-12-2014,24.65
01-01-2015,24.73
01-02-2015,24.78
01-03-2015,24.84
01-04-2015,24.89
01-05-2015,24.96
01-06-2015,24.98
01-07-2015,25.01
01-08-2015,25.1
01-09-2015,25.11
01-10-2015,25.2
01-11-2015,25.24
01-12-2015,25.27
01-01-2016,25.36
01-02-2016,25.39
01-03-2016,25.45
01-04-2016,25.53
01-05-2016,25.57
01-06-2016,25.63
01-07-2016,25.69
01-08-2016,25.72
01-09-2016,25.77
01-10-2016,25.88
01-11-2016,25.91
01-12-2016,25.94
01-01-2017,26.02
01-02-2017,26.08
01-03-2017,26.1
01-04-2017,26.18
01-05-2017,26.22
01-06-2017,26.27
01-07-2017,26.36
01-08-2017,26.38
01-09-2017,26.5
01-10-2017,26.48
01-11-2017,26.54
01-12-2017,26.64
01-01-2018,26.72
01-02-2018,26.75
01-03-2018,26.83
01-04-2018,26.91
01-05-2018,26.99
01-06-2018,27.04
01-07-2018,27.12
01-08-2018,27.22
01-09-2018,27.31
01-10-2018,27.36
01-11-2018,27.43
01-12-2018,27.55
01-01-2019,27.59
01-02-2019,27.68
01-03-2019,27.76
01-04-2019,27.8
01-05-2019,27.88
01-06-2019,27.96
01-07-2019,28.04
01-08-2019,28.16
01-09-2019,28.15
01-10-2019,28.24
01-11-2019,28.33
01-12-2019,28.36
01-01-2020,28.43
01-02-2020,28.51
01-03-2020,28.74
01-04-2020,30.07
01-05-2020,29.74
01-06-2020,29.35
01-07-2020,29.37
01-08-2020,29.47
01-09-2020,29.5
01-10-2020,29.52
01-11-2020,29.61
01-12-2020,29.9
01-01-2021,29.96
