Date,House
01-01-1974,117
01-04-1974,165
01-07-1974,122
01-10-1974,97
01-01-1975,91
01-04-1975,153
01-07-1975,150
01-10-1975,138
01-01-1976,147
01-04-1976,199
01-07-1976,189
01-10-1976,170
01-01-1977,184
01-04-1977,264
01-07-1977,247
01-10-1977,209
01-01-1978,178
01-04-1978,275
01-07-1978,242
01-10-1978,206
01-01-1979,156
01-04-1979,235
01-07-1979,203
01-10-1979,148
01-01-1980,102
01-04-1980,114
01-07-1980,170
01-10-1980,140
01-01-1981,112
01-04-1981,139
01-07-1981,104
01-10-1981,71
01-01-1982,77
01-04-1982,100
01-07-1982,113
01-10-1982,120
01-01-1983,145
01-04-1983,214
01-07-1983,192
01-10-1983,162
01-01-1984,172
01-04-1984,218
01-07-1984,177
01-10-1984,161
01-01-1985,153
01-04-1985,208
01-07-1985,193
01-10-1985,160
01-01-1986,170
01-04-1986,244
01-07-1986,201
01-10-1986,168
01-01-1987,170
01-04-1987,219
01-07-1987,193
01-10-1987,150
01-01-1988,159
01-04-1988,205
01-07-1988,181
01-10-1988,164
01-01-1989,154
01-04-1989,189
01-07-1989,169
01-10-1989,136
01-01-1990,148
01-04-1990,158
01-07-1990,131
01-10-1990,98
01-01-1991,92
01-04-1991,147
01-07-1991,135
01-10-1991,118
01-01-1992,145
01-04-1992,173
01-07-1992,159
01-10-1992,145
01-01-1993,142
01-04-1993,204
01-07-1993,192
01-10-1993,181
01-01-1994,176
01-04-1994,221
01-07-1994,199
01-10-1994,170
01-01-1995,149
01-04-1995,195
01-07-1995,198
01-10-1995,177
01-01-1996,175
01-04-1996,229
01-07-1996,210
01-10-1996,171
01-01-1997,175
01-04-1997,220
01-07-1997,215
01-10-1997,178
01-01-1998,195
01-04-1998,249
01-07-1998,229
01-10-1998,214
01-01-1999,212
01-04-1999,249
01-07-1999,243
01-10-1999,210
01-01-2000,207
01-04-2000,245
01-07-2000,223
01-10-2000,199
01-01-2001,211
01-04-2001,267
01-07-2001,241
01-10-2001,204
01-01-2002,220
01-04-2002,282
01-07-2002,262
01-10-2002,237
01-01-2003,234
01-04-2003,304
01-07-2003,306
01-10-2003,280
01-01-2004,269
01-04-2004,346
01-07-2004,338
01-10-2004,289
01-01-2005,303
01-04-2005,386
01-07-2005,366
01-10-2005,308
01-01-2006,313
01-04-2006,332
01-07-2006,276
01-10-2006,205
01-01-2007,202
01-04-2007,246
01-07-2007,190
01-10-2007,127
01-01-2008,116
01-04-2008,129
01-07-2008,102
01-10-2008,64
01-01-2009,53
01-04-2009,82
01-07-2009,93
01-10-2009,70
01-01-2010,86
01-04-2010,92
01-07-2010,74
01-10-2010,58
01-01-2011,66
01-04-2011,83
01-07-2011,78
01-10-2011,63
01-01-2012,77
01-04-2012,105
01-07-2012,103
01-10-2012,90
01-01-2013,107
01-04-2013,131
01-07-2013,120
01-10-2013,104
01-01-2014,103
01-04-2014,129
01-07-2014,124
01-10-2014,106
01-01-2015,112
01-04-2015,152
01-07-2015,147
01-10-2015,118
01-01-2016,131
01-04-2016,159
01-07-2016,150
01-10-2016,138
01-01-2017,144
01-04-2017,180
01-07-2017,168
01-10-2017,148
01-01-2018,158
01-04-2018,194
01-07-2018,171
01-10-2018,138
01-01-2019,153
01-04-2019,181
01-07-2019,176
01-10-2019,162
01-01-2020,173
01-04-2020,159
01-07-2020,216
01-10-2020,221
